Rk,Player,Age
419,Erik Karlsson\karlser01,27
420,Melker Karlsson\karlsme01,27
421,William Karlsson\karlswi01,25
422,Ondrej Kase\kaseon01,22
423,Zack Kassian\kassiza01,27
424,Duncan Keith\keithdu01,34
425,Clayton Keller\kellecl01,19
426,Chris Kelly\kellych01,37
427,Adrian Kempe\kempead01,21
428,Mario Kempe\kempema01,29
429,Michal Kempny\kempnmi01,27
429,Michal Kempny\kempnmi01,27
429,Michal Kempny\kempnmi01,27
430,Nicolas Kerdiles\kerdini01,24
431,Alexander Kerfoot\kerfoal01,23
432,Tanner Kero\kerota01,25
433,Ryan Kesler\keslery01,33
434,Phil Kessel\kesseph01,30
435,Jujhar Khaira\khairju01,23
436,Alex Killorn\killoal01,28
437,Oscar Klefbom\klefbos01,24
438,Morgan Klimchuk\klimcmo01,22
439,John Klingberg\klingjo01,25
440,Justin Kloos\kloosju01,24
441,Slater Koekkoek\koekksl01,23
442,Mikko Koivu\koivumi01,34
443,Leo Komarov\komarle01,31
444,Travis Konecny\konectr01,20
445,Anze Kopitar\kopitan01,30
446,Kalle Kossila\kossika01,24
447,Chris Kreider\kreidch01,26
448,David Krejci\krejcda01,31
449,Niklas Kronwall\kronwni01,37
450,Torey Krug\krugto01,26
451,Marcus Kruger\krugema01,27
452,Nikita Kucherov\kucheni01,24
453,Tom Kuhnhackl\kuhnhto01,26
454,Dean Kukan\kukande01,24
455,Brett Kulak\kulakbr01,24
456,Nikolai Kulemin\kulemni01,31
457,Dmitry Kulikov\kulikdm01,27
458,Luke Kunin\kuninlu01,20
459,Chris Kunitz\kunitch01,38
460,Janne Kuokkanen\kuokkja01,19
461,Sean Kuraly\kuralse01,25
462,Evgeny Kuznetsov\kuzneev01,25
463,Kevin Labanc\labanke01,22
464,Andrew Ladd\laddan01,32
465,Paul Ladue\laduepa01,25
466,Brooks Laich\laichbr01,34
467,Patrik Laine\lainepa01,19
468,Gabriel Landeskog\landega01,25
469,Nick Lappin\lappini01,25
470,Dylan Larkin\larkidy01,21
471,Adam Larsson\larssad01,25
472,Johan Larsson\larssjo02,25
473,Brian Lashoff\lashobr01,27
474,Scott Laughton\laughsc01,23
475,Curtis Lazar\lazarcu01,22
476,Nick Leddy\leddyni01,26
477,Anders Lee\leean01,27
478,Artturi Lehkonen\lehkoar01,22
479,Jori Lehtera\lehtejo01,30
480,Taylor Leier\leierta01,23
481,Brendan Leipsic\leipsbr01,23
481,Brendan Leipsic\leipsbr01,23
481,Brendan Leipsic\leipsbr01,23
482,Josh Leivo\leivojo01,24
483,Brendan Lemieux\lemiebr01,21
484,Brett Lernout\lernobr01,22
485,Kris Letang\letankr01,30
486,Mark Letestu\letesma01,32
486,Mark Letestu\letesma01,32
486,Mark Letestu\letesma01,32
487,Vinni Lettieri\lettivi01,22
488,Trevor Lewis\lewistr01,31
489,Mike Liambas\liambmi01,28
490,Oscar Lindberg\lindbos02,26
491,Oskar Lindblom\lindbos01,21
492,Esa Lindell\lindees01,23
493,Anton Lindholm\lindhan01,23
494,Elias Lindholm\lindhel01,23
495,Hampus Lindholm\lindhha01,24
496,Bryan Little\littlbr01,30
497,Ryan Lomberg\lombery01,23
498,Ben Lovejoy\lovejbe01,33
499,Keegan Lowe\loweke02,24
500,Adam Lowry\lowryad01,24
501,Milan Lucic\lucicmi01,29
502,Olli Maatta\maattol01,23
503,Kurtis MacDermid\macdeku01,23
504,Andrew MacDonald\macdoan01,31
505,Derek MacKenzie\mackede01,36
506,Nathan MacKinnon\mackina01,22
507,Denis Malgin\malgide01,21
508,Evgeni Malkin\malkiev01,31
509,Brad Malone\malonbr01,28
510,Maxim Mamin\maminma01,23
511,Andrew Mangiapane\mangian01,21
512,Brandon Manning\mannibr01,27
513,Josh Manson\mansojo01,26
514,Anthony Mantha\manthan01,23
515,Brad Marchand\marchbr03,29
516,Jon Marchessault\audymjo01,27
517,Martin Marincin\marinma01,25
518,Patrick Marleau\marlepa01,38
519,Mitch Marner\marnemi01,20
520,Patrick Maroon\maroopa01,29
520,Patrick Maroon\maroopa01,29
520,Patrick Maroon\maroopa01,29
521,Danick Martel\marteda01,23
522,Matt Martin\martima02,28
523,Paul Martin\martipa01,36
524,Alec Martinez\martial01,30
525,Jordan Martinook\martijo01,25
526,Andreas Martinsen\martian01,27
527,Mike Matheson\mathemi01,23
528,Stefan Matteau\mattest02,23
529,Auston Matthews\matthau01,20
530,Shawn Matthias\matthsh01,29
531,Scott Mayfield\mayfisc01,25
532,Charlie McAvoy\mcavoch01,20
533,Jake McCabe\mccabja01,24
534,Jared McCann\mccanja01,21
535,Michael McCarron\mccarmi01,22
536,Max McCormick\mccorma01,25
537,Ian McCoshen\mccosia01,22
538,Connor McDavid\mcdavco01,21
539,Ryan McDonagh\mcdonry01,28
539,Ryan McDonagh\mcdonry01,28
539,Ryan McDonagh\mcdonry01,28
540,Brock McGinn\mcginbr01,23
541,Jamie McGinn\mcginja01,29
542,Greg McKegg\mckeggr01,25
543,Curtis McKenzie\mckencu01,26
544,Roland McKeown\mckeoro01,22
545,Cody McLeod\mcleoco01,33
545,Cody McLeod\mcleoco01,33
545,Cody McLeod\mcleoco01,33
546,Brayden McNabb\mcnabbr01,27
547,Adam McQuaid\mcquaad01,31
548,Wade Megan\meganwa01,27
549,Jaycob Megna\megnaja02,25
550,Jayson Megna\megnaja01,27
551,Timo Meier\meierti01,21
552,Nicholas Merkley\merklni01,20
553,Dakota Mermis\mermida01,24
554,Jonathon Merrill\merrijo01,25
555,Victor Mete\metevi01,19
556,Marc Methot\methoma01,32
557,Sonny Milano\milanso01,21
558,Colin Miller\milleco02,25
559,J.T. Miller\millejt01,24
559,J.T. Miller\millejt01,24
559,J.T. Miller\millejt01,24
560,Kevan Miller\milleke03,30
561,Andrei Mironov\mironan01,23
562,Torrey Mitchell\mitchto01,33
562,Torrey Mitchell\mitchto01,33
562,Torrey Mitchell\mitchto01,33
563,Zack Mitchell\mitchza01,25
564,Casey Mittelstadt\mitteca01,19
565,Sean Monahan\monahse01,23
566,Brandon Montour\montobr01,23
567,Dominic Moore\mooredo01,37
568,John Moore\moorejo01,27
569,Samuel Morin\morinsa01,22
570,Josh Morrissey\morrijo04,22
571,Joseph Morrow\morrojo02,25
571,Joseph Morrow\morrojo02,25
571,Joseph Morrow\morrojo02,25
572,Tyler Motte\mottety01,22
572,Tyler Motte\mottety01,22
572,Tyler Motte\mottety01,22
573,Matt Moulson\moulsma01,34
574,Mirco Mueller\muellmi01,22
575,Connor Murphy\murphco02,24
576,Ryan Murphy\murphry01,24
577,Trevor Murphy\murphtr01,22
578,Ryan Murray\murrary01,24
579,Jake Muzzin\muzzija01,28
580,Tyler Myers\myersty01,27
581,Vladislav Namestnikov\namesvl01,25
581,Vladislav Namestnikov\namesvl01,25
581,Vladislav Namestnikov\namesvl01,25
582,Rick Nash\nashri01,33
582,Rick Nash\nashri01,33
582,Rick Nash\nashri01,33
583,Riley Nash\nashri02,28
584,James Neal\nealja01,30
585,Martin Necas\necasma01,19
586,Brock Nelson\nelsobr01,26
587,Casey Nelson\nelsoca01,25
588,Patrik Nemeth\nemetpa01,25
589,Aaron Ness\nessaa01,27
590,Nino Niederreiter\niedeni01,25
591,Frans Nielsen\nielsfr01,33
592,Matthew Nieto\nietoma01,25
593,Boo Nieves\nievecr01,24
594,Sami Niku\nikusa01,21
595,Matt Niskanen\niskama01,31
596,Stefan Noesen\noesest01,24
597,Jordan Nolan\nolanjo01,28
598,Joakim Nordstrom\nordsjo02,25
599,Tomas Nosek\nosekto01,25
600,Ryan Nugent-Hopkins\nugenry01,24
601,Darnell Nurse\nurseda01,22
602,Markus Nutivaara\nutivma01,23
603,Alexander Nylander\nylanal01,19
604,William Nylander\nylanwi01,21
605,Gustav Nyquist\nyquigu01,28
606,Jim O'Brien\obrieji01,29
607,Liam O'Brien\obrieli01,23
608,Rob O'Gara\ogararo01,24
608,Rob O'Gara\ogararo01,24
608,Rob O'Gara\ogararo01,24
609,Will O'Neill\oneilwi01,29
610,Daniel O'Regan\oregada01,24
610,Daniel O'Regan\oregada01,24
610,Daniel O'Regan\oregada01,24
611,Cal O'Reilly\oreilca01,31
612,Ryan O'Reilly\oreilry01,26
613,Johnny Oduya\oduyajo01,36
613,Johnny Oduya\oduyajo01,36
613,Johnny Oduya\oduyajo01,36
614,Jordan Oesterle\oestejo01,25
615,Kyle Okposo\okposky01,29
616,Jamie Oleksiak\oleksja01,25
616,Jamie Oleksiak\oleksja01,25
616,Jamie Oleksiak\oleksja01,25
617,Gustav Olofsson\olofsgu01,23
618,Dmitry Orlov\orlovdm01,26
619,Brooks Orpik\orpikbr01,37
620,T.J. Oshie\oshietj01,31
621,Xavier Ouellet\ouellxa01,24
622,Alex Ovechkin\ovechal01,32
623,Magnus Paajarvi\paajama01,26
623,Magnus Paajarvi\paajama01,26
623,Magnus Paajarvi\paajama01,26
624,Max Pacioretty\pacioma01,29
625,Jean-Gabriel Pageau\pageaje01,25
626,Iiro Pakarinen\pakarii01,26
627,Ondrej Palat\palaton01,26
628,Kyle Palmieri\palmiky01,26
629,Artemi Panarin\panarar01,26
630,Richard Panik\panikri01,26
630,Richard Panik\panikri01,26
630,Richard Panik\panikri01,26
631,Cedric Paquette\paquece01,24
632,Colton Parayko\parayco01,24
633,Zach Parise\parisza01,33
